Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-10-01,128.34,138.98,128.19,138.58,4333300,0.0,0.0,A
2025-09-30,123.42,128.39,123.01,128.35,2417900,0.248,0.0,A
2025-09-29,123.51,123.98,122.32,123.5,1486100,0.0,0.0,A
2025-09-26,121.81,123.8,121.31,123.14,1167100,0.0,0.0,A
2025-09-25,123.41,123.41,120.54,121.65,1411800,0.0,0.0,A
2025-09-24,124.92,125.71,123.83,124.13,1239900,0.0,0.0,A
2025-09-23,125.92,126.74,125.65,125.69,1281500,0.0,0.0,A
2025-09-22,125.25,126.37,124.92,126.08,976700,0.0,0.0,A
2025-09-19,128.02,128.29,125.77,126.07,2844300,0.0,0.0,A
2025-09-18,127.5,128.28,126.51,127.36,1513200,0.0,0.0,A
2025-09-17,127.46,129.82,126.13,126.47,1921700,0.0,0.0,A
2025-09-16,125.38,127.32,124.77,126.94,1721100,0.0,0.0,A
2025-09-15,123.74,126.16,123.45,125.38,2084900,0.0,0.0,A
2025-09-12,126.2,126.28,122.88,122.99,1250800,0.0,0.0,A
2025-09-11,125.26,126.8,124.62,126.48,1474100,0.0,0.0,A
2025-09-10,125.67,126.47,123.76,123.87,1669500,0.0,0.0,A
2025-09-09,127.84,128.0,125.6,126.0,1470300,0.0,0.0,A
2025-09-08,127.22,128.16,126.03,127.87,2136200,0.0,0.0,A
2025-09-05,128.46,130.74,128.13,128.49,1633200,0.0,0.0,A
2025-09-04,124.75,128.57,123.55,128.22,2715400,0.0,0.0,A
2025-09-03,124.71,125.58,123.47,124.97,2497300,0.0,0.0,A
2025-09-02,124.63,125.27,121.56,124.96,2412700,0.0,0.0,A
2025-08-29,124.75,126.05,123.86,125.41,1781200,0.0,0.0,A
2025-08-28,118.56,125.17,117.96,124.71,3886400,0.0,0.0,A
2025-08-27,118.26,118.96,117.27,118.45,1698600,0.0,0.0,A
2025-08-26,118.99,119.39,117.87,118.06,1898200,0.0,0.0,A
2025-08-25,121.26,121.45,118.24,118.91,1482500,0.0,0.0,A
2025-08-22,118.03,122.16,117.23,121.39,1291000,0.0,0.0,A
2025-08-21,118.25,118.46,116.8,116.92,744700,0.0,0.0,A
2025-08-20,119.63,120.22,118.04,118.87,1431900,0.0,0.0,A
2025-08-19,118.26,120.35,117.91,119.87,1313500,0.0,0.0,A
2025-08-18,118.88,119.36,117.91,117.91,1021100,0.0,0.0,A
2025-08-15,119.37,119.72,118.25,118.96,1238500,0.0,0.0,A
2025-08-14,118.99,119.17,117.91,118.63,926300,0.0,0.0,A
2025-08-13,117.82,120.16,117.62,120.05,983500,0.0,0.0,A
2025-08-12,114.28,117.13,114.17,117.08,917400,0.0,0.0,A
2025-08-11,114.81,115.44,113.5,113.9,1082300,0.0,0.0,A
2025-08-08,114.08,114.77,113.16,114.39,1129700,0.0,0.0,A
2025-08-07,114.27,114.69,112.93,113.75,1157400,0.0,0.0,A
2025-08-06,114.85,114.85,112.33,113.0,1058700,0.0,0.0,A
2025-08-05,114.58,115.2,114.02,114.66,1271000,0.0,0.0,A
2025-08-04,112.94,114.8,111.79,114.61,1343200,0.0,0.0,A
2025-08-01,113.22,114.09,110.97,113.27,1888600,0.0,0.0,A
2025-07-31,116.34,118.1,114.24,114.58,2339500,0.0,0.0,A
2025-07-30,120.0,120.22,117.0,117.81,979100,0.0,0.0,A
2025-07-29,119.51,120.27,118.62,119.6,1212200,0.0,0.0,A
2025-07-28,119.17,120.53,118.48,119.3,1679100,0.0,0.0,A
2025-07-25,120.26,120.77,118.78,119.94,1972700,0.0,0.0,A
2025-07-24,119.19,122.5,119.19,120.11,1602800,0.0,0.0,A
2025-07-23,119.14,120.55,117.24,119.23,1939700,0.0,0.0,A
2025-07-22,112.62,116.82,111.92,115.96,1692000,0.0,0.0,A
2025-07-21,113.0,113.43,110.53,111.82,2060800,0.0,0.0,A
2025-07-18,116.59,116.97,113.3,113.76,1521800,0.0,0.0,A
2025-07-17,113.87,116.34,113.02,116.13,1552900,0.0,0.0,A
2025-07-16,113.23,114.23,111.64,113.2,2248800,0.0,0.0,A
2025-07-15,117.76,119.52,111.71,112.71,3950600,0.0,0.0,A
2025-07-14,121.6,121.62,119.03,119.84,2028700,0.0,0.0,A
2025-07-11,122.68,123.41,122.09,123.03,1383000,0.0,0.0,A
2025-07-10,121.39,126.19,120.7,123.92,2269500,0.0,0.0,A
2025-07-09,121.16,122.1,118.66,121.06,1806700,0.0,0.0,A
2025-07-08,119.34,122.86,119.04,120.77,1917000,0.0,0.0,A
2025-07-07,120.16,120.51,117.86,119.01,1459900,0.0,0.0,A
2025-07-03,120.76,121.51,120.43,121.14,945000,0.0,0.0,A
2025-07-02,120.76,121.35,119.22,120.42,1467100,0.0,0.0,A
2025-07-01,117.2,122.91,116.61,120.21,1935700,0.248,0.0,A
2025-06-30,118.7,119.17,116.97,117.53,1602400,0.0,0.0,A
2025-06-27,119.51,119.72,117.7,118.68,1734700,0.0,0.0,A
2025-06-26,118.69,120.05,117.56,118.93,1488000,0.0,0.0,A
2025-06-25,116.63,119.29,116.49,118.13,1690000,0.0,0.0,A
2025-06-24,116.85,117.52,116.09,117.16,1945300,0.0,0.0,A
2025-06-23,114.48,115.75,113.23,115.65,1448400,0.0,0.0,A
2025-06-20,115.69,116.38,114.61,115.09,3043900,0.0,0.0,A
2025-06-18,115.61,116.4,114.2,115.05,1560300,0.0,0.0,A
2025-06-17,117.02,117.98,115.34,115.61,1577100,0.0,0.0,A
2025-06-16,117.21,118.85,115.1,118.53,1402800,0.0,0.0,A
2025-06-13,116.2,118.41,115.97,116.6,1652000,0.0,0.0,A
2025-06-12,118.49,119.56,118.04,118.42,1361500,0.0,0.0,A
2025-06-11,120.26,122.33,119.18,119.23,2752400,0.0,0.0,A
2025-06-10,117.42,120.66,116.65,120.03,3499500,0.0,0.0,A
2025-06-09,116.13,117.98,115.3,116.26,2147800,0.0,0.0,A
2025-06-06,114.94,115.54,114.31,115.33,1556400,0.0,0.0,A
2025-06-05,114.95,115.03,113.17,113.47,1875900,0.0,0.0,A
2025-06-04,112.9,114.82,112.43,114.47,2692800,0.0,0.0,A
2025-06-03,110.44,112.53,109.3,112.3,1491200,0.0,0.0,A
2025-06-02,110.68,110.95,109.58,110.59,1757000,0.0,0.0,A
2025-05-30,111.57,112.45,110.34,111.46,4753600,0.0,0.0,A
2025-05-29,116.47,116.51,112.54,112.82,3837400,0.0,0.0,A
2025-05-28,110.38,111.12,109.69,110.43,2733100,0.0,0.0,A
2025-05-27,110.3,111.31,109.52,110.8,2103900,0.0,0.0,A
2025-05-23,107.34,108.61,106.63,108.08,1691000,0.0,0.0,A
2025-05-22,107.92,109.74,107.53,109.23,2379800,0.0,0.0,A
2025-05-21,111.54,112.15,108.25,108.46,2859800,0.0,0.0,A
2025-05-20,112.98,113.67,112.2,113.01,2245800,0.0,0.0,A
2025-05-19,112.04,113.0,111.57,112.97,2086300,0.0,0.0,A
2025-05-16,111.82,113.36,110.37,113.3,1812000,0.0,0.0,A
2025-05-15,110.82,111.94,108.48,111.94,1873900,0.0,0.0,A
2025-05-14,114.48,115.03,110.82,111.06,2563400,0.0,0.0,A
2025-05-13,114.96,116.4,114.35,114.95,2845300,0.0,0.0,A
2025-05-12,110.36,115.24,110.0,115.08,2873100,0.0,0.0,A
2025-05-09,108.51,109.41,106.35,106.49,1369500,0.0,0.0,A
2025-05-08,107.56,110.2,106.11,108.25,2093300,0.0,0.0,A
2025-05-07,106.25,107.16,104.36,107.08,2143700,0.0,0.0,A
2025-05-06,106.81,107.77,103.93,104.81,1960600,0.0,0.0,A
2025-05-05,107.66,108.8,107.02,107.93,1385500,0.0,0.0,A
2025-05-02,108.79,109.88,107.01,108.18,1213100,0.0,0.0,A
2025-05-01,106.81,107.79,103.67,106.02,1523100,0.0,0.0,A
2025-04-30,106.52,107.51,105.02,107.16,1452200,0.0,0.0,A
2025-04-29,106.46,107.58,105.35,107.02,1201800,0.0,0.0,A
2025-04-28,106.91,108.11,104.96,106.43,1689700,0.0,0.0,A
2025-04-25,105.44,105.99,103.92,105.84,1120600,0.0,0.0,A
2025-04-24,104.99,106.64,102.74,106.58,1989400,0.0,0.0,A
2025-04-23,106.23,109.17,104.32,104.57,2236200,0.0,0.0,A
2025-04-22,101.58,103.51,100.78,102.39,2321500,0.0,0.0,A
2025-04-21,101.43,101.62,98.71,99.85,2321800,0.0,0.0,A
2025-04-17,102.21,103.08,100.94,102.06,1769900,0.0,0.0,A
2025-04-16,102.8,104.4,101.45,102.28,1454400,0.0,0.0,A
2025-04-15,103.87,104.82,102.12,102.7,1326700,0.0,0.0,A
2025-04-14,104.51,105.77,103.57,104.76,1906700,0.0,0.0,A
2025-04-11,100.74,102.92,98.45,102.29,2849100,0.0,0.0,A
2025-04-10,104.39,104.85,96.41,99.54,4977800,0.0,0.0,A
2025-04-09,97.66,106.86,96.03,106.61,4234600,0.0,0.0,A
2025-04-08,105.63,106.32,96.97,98.88,4525100,0.0,0.0,A
2025-04-07,102.21,106.56,98.11,103.17,3562900,0.0,0.0,A
2025-04-04,106.7,107.26,102.43,102.58,3826300,0.0,0.0,A
2025-04-03,112.64,113.43,109.12,109.22,3802400,0.0,0.0,A
2025-04-02,112.66,115.76,112.29,115.51,1947600,0.0,0.0,A
2025-04-01,115.94,115.99,112.9,113.58,2302800,0.248,0.0,A
2025-03-31,115.64,117.0,113.05,116.25,2014000,0.0,0.0,A
2025-03-28,118.47,118.92,115.64,115.97,1772900,0.0,0.0,A
2025-03-27,119.25,119.58,117.99,118.23,2075700,0.0,0.0,A
2025-03-26,119.97,120.39,118.31,119.16,2652900,0.0,0.0,A
2025-03-25,121.84,122.28,119.02,119.76,1605900,0.0,0.0,A
2025-03-24,121.12,123.66,120.14,121.21,1557400,0.0,0.0,A
2025-03-21,118.64,120.03,117.19,120.0,3041400,0.0,0.0,A
2025-03-20,120.96,121.32,118.95,119.53,1620600,0.0,0.0,A
2025-03-19,121.8,122.47,120.56,121.45,1706100,0.0,0.0,A
2025-03-18,121.34,122.43,120.67,122.34,1415400,0.0,0.0,A
2025-03-17,120.35,122.73,120.03,121.73,2015400,0.0,0.0,A
2025-03-14,118.07,121.29,116.77,120.43,2978800,0.0,0.0,A
2025-03-13,118.26,119.33,116.44,116.6,1984800,0.0,0.0,A
2025-03-12,121.34,122.93,118.34,119.11,1807100,0.0,0.0,A
2025-03-11,121.83,122.51,118.56,120.28,2106600,0.0,0.0,A
2025-03-10,124.43,125.86,120.86,121.14,3412300,0.0,0.0,A
2025-03-07,125.17,127.3,123.63,125.91,2056100,0.0,0.0,A
2025-03-06,125.22,128.7,124.99,125.76,2300000,0.0,0.0,A
2025-03-05,121.72,126.51,121.53,125.72,2046900,0.0,0.0,A
2025-03-04,124.22,124.97,120.7,122.3,2524100,0.0,0.0,A
2025-03-03,128.2,128.2,124.86,125.55,2184500,0.0,0.0,A
2025-02-28,127.4,128.71,125.18,127.13,2852700,0.0,0.0,A
2025-02-27,127.98,130.5,125.03,126.29,3469100,0.0,0.0,A
2025-02-26,134.16,135.62,132.82,133.63,1539900,0.0,0.0,A
2025-02-25,134.31,135.43,132.37,133.35,2607000,0.0,0.0,A
2025-02-24,134.66,136.09,133.93,134.44,2037500,0.0,0.0,A
2025-02-21,136.01,136.68,134.31,134.53,1112200,0.0,0.0,A
2025-02-20,136.8,137.72,135.25,135.94,872700,0.0,0.0,A
2025-02-19,133.75,136.64,133.22,136.3,1738100,0.0,0.0,A
2025-02-18,133.67,135.34,133.11,134.36,2121000,0.0,0.0,A
2025-02-14,136.14,136.31,133.48,133.83,1358700,0.0,0.0,A
2025-02-13,137.41,137.49,135.21,135.6,1395400,0.0,0.0,A
2025-02-12,137.92,138.93,135.55,137.22,2103600,0.0,0.0,A
2025-02-11,141.35,143.3,140.44,140.87,1134200,0.0,0.0,A
2025-02-10,144.68,144.94,140.95,142.8,1764700,0.0,0.0,A
2025-02-07,147.29,148.46,143.51,144.31,1557800,0.0,0.0,A
2025-02-06,146.11,147.69,145.29,146.72,1143000,0.0,0.0,A
2025-02-05,146.97,147.79,145.4,147.07,1348100,0.0,0.0,A
2025-02-04,147.1,147.73,145.36,146.13,1290900,0.0,0.0,A
2025-02-03,148.83,149.39,146.96,147.71,1637900,0.0,0.0,A
2025-01-31,150.02,152.88,149.56,150.58,1886600,0.0,0.0,A
2025-01-30,148.02,151.53,146.73,150.44,1496000,0.0,0.0,A
2025-01-29,148.06,148.97,145.64,146.18,1583200,0.0,0.0,A
2025-01-28,151.66,152.29,149.28,149.41,1791600,0.0,0.0,A
2025-01-27,150.62,151.27,147.81,150.02,2229600,0.0,0.0,A
2025-01-24,151.16,151.82,149.84,150.5,1844900,0.0,0.0,A
2025-01-23,151.88,152.01,147.26,151.5,1332000,0.0,0.0,A
2025-01-22,151.88,152.8,150.78,151.65,1730900,0.0,0.0,A
2025-01-21,147.75,152.23,147.09,151.62,2759600,0.0,0.0,A
2025-01-17,144.97,147.54,144.3,146.44,3210300,0.0,0.0,A
2025-01-16,141.89,144.21,139.56,143.82,1661400,0.0,0.0,A
2025-01-15,143.24,145.59,137.82,141.35,2328600,0.0,0.0,A
2025-01-14,141.12,144.48,139.28,142.54,2445400,0.0,0.0,A
2025-01-13,136.37,141.93,136.15,141.07,1562000,0.0,0.0,A
2025-01-10,133.91,139.27,133.87,136.62,1369900,0.0,0.0,A
2025-01-08,136.82,136.82,134.79,136.15,1684600,0.0,0.0,A
2025-01-07,135.98,139.41,135.14,136.56,1056700,0.0,0.0,A
2025-01-06,134.76,137.48,134.5,135.58,1047000,0.0,0.0,A
2025-01-03,132.62,135.2,131.94,134.85,1246900,0.0,0.0,A
2025-01-02,134.37,134.89,132.04,132.6,953600,0.0,0.0,A
2024-12-31,133.97,135.07,133.2,133.51,719600,0.248,0.0,A
2024-12-30,133.32,134.5,132.17,133.34,993600,0.0,0.0,A
2024-12-27,133.54,135.12,133.51,134.45,631800,0.0,0.0,A
2024-12-26,133.92,134.89,133.88,134.74,556600,0.0,0.0,A
2024-12-24,133.52,135.0,133.07,135.0,370200,0.0,0.0,A
2024-12-23,133.08,133.61,132.1,133.52,1194900,0.0,0.0,A
2024-12-20,132.16,134.44,132.16,133.43,4363900,0.0,0.0,A
2024-12-19,132.07,133.19,130.56,132.12,2166500,0.0,0.0,A
2024-12-18,135.85,136.46,131.84,131.94,1746900,0.0,0.0,A
2024-12-17,136.47,138.22,135.1,135.36,2430600,0.0,0.0,A
2024-12-16,137.51,138.81,135.9,136.56,1580700,0.0,0.0,A
2024-12-13,139.23,139.34,136.19,137.88,1474300,0.0,0.0,A
2024-12-12,139.37,140.58,138.75,139.78,976300,0.0,0.0,A
2024-12-11,141.71,142.43,140.03,140.05,1848700,0.0,0.0,A
2024-12-10,143.09,143.73,140.59,140.79,1261300,0.0,0.0,A
2024-12-09,139.68,143.41,139.31,142.84,1547300,0.0,0.0,A
2024-12-06,138.35,140.65,137.84,139.45,1297600,0.0,0.0,A
